Year,Make,Model,Trim,Final Offer,ICO Value
,Ford,Explorer,,,8374
,Volkswagen,Eurovan,,,7159
,Ferrari,F430,,,4097
,GMC,Suburban 2500,,,6706
,Dodge,Grand Caravan,,,5020
,Dodge,Grand Caravan,,,5032
,Buick,Riviera,,,15515
,Subaru,Forester,,,13667
,GMC,Suburban 2500,,,6772
,Daihatsu,Charade,,,5829
,Cadillac,CTS-V,,,6217
,Buick,Riviera,,,16266
,GMC,Suburban 2500,,,6575
,Chevrolet,Camaro,,,24720
,Volkswagen,Eurovan,,,7368
,Dodge,Grand Caravan,,,4880
,Daihatsu,Charade,,,6114
,Buick,Riviera,,,13169
,Subaru,Forester,,,13667
,Cadillac,CTS-V,,,6351
,Ford,Explorer,,,12017
,BMW,3 Series,,,10367
,Subaru,Forester,,,13667
,Chevrolet,Camaro,,,24720
,Ram,3500,,,44129
,Toyota,Corolla,,,12205
,Ford,Explorer,,,12017
,Ferrari,F430,,,4202
,GMC,Suburban 2500,,,6187
,Volkswagen,Eurovan,,,8797
,Daihatsu,Charade,,,6762
,Buick,Riviera,,,11126
,Dodge,Grand Caravan,,,5302
,Volkswagen,Eurovan,,,7392
,Ferrari,F430,,,4108
,GMC,Suburban 2500,,,6125
,Cadillac,CTS-V,,,6616
,Ferrari,F430,,,4202
,Volkswagen,Eurovan,,,7546
,Dodge,Grand Caravan,,,5323
,Ferrari,F430,,,4170
,GMC,Suburban 2500,,,6342
,Buick,Riviera,,,11871
,Chevrolet,Camaro,,,24720
,Chevrolet,Camaro,,,24179
,Chevrolet,Camaro,,,24179
,Chevrolet,Camaro,,,24179
,Subaru,Forester,,,12325
,Subaru,Forester,,,13557
,Cadillac,CTS-V,,,6474
,Volkswagen,Eurovan,,,7881
,Ferrari,F430,,,3906
,GMC,Suburban 2500,,,5810
,Kia,Borrego,,,2887
,Pontiac,Vibe,,,2300
,Pontiac,Vibe,,,2300
,Chevrolet,Camaro,,,24720
,Chevrolet,Camaro,,,24720
,Chevrolet,Camaro,,,24720
,Chevrolet,Camaro,,,24720
,Chevrolet,Camaro,,,24720
,Cadillac,CTS-V,,,6339
,Ferrari,F430,,,3768
,Daihatsu,Charade,,,5891
,Dodge,Grand Caravan,,,5439
,Subaru,Forester,,,13557
,Acura,Integra,,,350
,Buick,Riviera,,,11591
,Cadillac,CTS-V,,,6753
,Ferrari,F430,,,4205
,Volkswagen,Eurovan,,,8953
,Pontiac,Vibe,,,3606
,Kia,Borrego,,,5740
,Volkswagen,Eurovan,,,9317
,Ferrari,F430,,,4375
,Subaru,Forester,,,13310
,GMC,Suburban 2500,,,7210
,Chevrolet,Camaro,,,24024
,Chevrolet,Camaro,,,24024
,Chevrolet,Camaro,,,24024
,Chevrolet,Camaro,,,24024
,Chevrolet,Camaro,,,24024
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Chevrolet,Silverado 1500,,,5500
,Chevrolet,Camaro,,,24308
,Ford,Escape,,,13100
,Ford,Escape,,,13100
,Ford,Escape,,,7850
,Ford,Escape,,,7850
,Ford,Escape,,,7850
,Ford,Explorer,,,11770
,BMW,3 Series,,,10340
,Subaru,Forester,,,12299
,Ford,Mustang,,,21560
,Ford,Explorer,,,11770
,Pontiac,Vibe,,,1200
,Pontiac,Vibe,,,1200
,Pontiac,Vibe,,,1200
,Ford,Explorer,,,11770
,Subaru,Forester,,,13658
,Subaru,Forester,,,13658
,Subaru,Forester,,,13658
,Subaru,Forester,,,13658
,Subaru,Forester,,,13658
,Ford,Explorer,,,11770
,Ford,Explorer,,,11770
,Ford,Explorer,,,11770
,Ford,Explorer,,,11770
,Chevrolet,Camaro,,,24308
,Toyota,RAV4,,,11632
,Toyota,RAV4,,,11357
,Ford,Explorer,,,11770
,Chevrolet,Camaro,,,24308
,Ford,Explorer,,,11770
,Toyota,RAV4,,,11357
,Ford,Explorer,,,11770
,Ford,Explorer,,,11770
,Chevrolet,Camaro,,,24308
,Ford,Explorer,,,11770
,Ford,Explorer,,,11770
,Ford,Explorer,,,11770
,Toyota,RAV4,,,11357
,Toyota,RAV4,,,11357
,Ford,Explorer,,,11770
,Chevrolet,Camaro,,,24024
,Ford,Explorer,,,11770
,Chevrolet,Camaro,,,24024
,GMC,Sierra 1500,,,8002
,GMC,Sierra 1500,,,8002
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Subaru,Forester,,,12567
,Ford,Focus,,,8592
,Ford,Focus,,,8592
,Ford,Explorer,,,11770
,Chevrolet,Tahoe,,,7183
